tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID
2023-01-01 00:08:00,2023-01-01 00:41:00,1.0,25.84,60,265
2023-01-01 00:27:00,2023-01-01 00:32:00,1.0,1.03,159,168
2023-01-01 01:51:00,2023-01-01 01:52:00,1.0,0.5,168,247
2023-01-01 01:44:00,2023-01-01 01:52:00,4.0,0.9,119,247
2023-01-01 01:59:00,2023-01-01 02:15:00,1.0,2.3,168,247
2023-01-01 02:18:00,2023-01-01 02:20:00,1.0,0.55,136,127
2023-01-01 02:09:00,2023-01-01 02:18:00,1.0,3.3,240,265
2023-01-01 03:22:00,2023-01-02 03:04:00,1.0,1.15,136,127
2023-01-01 03:56:00,2023-01-01 03:59:00,1.0,0.76,69,247
2023-01-01 03:07:00,2023-01-01 03:30:00,2.0,12.33,51,119
2023-01-01 03:24:00,2023-01-01 03:45:00,1.0,2.7,168,244
2023-01-01 03:11:00,2023-01-01 03:37:00,1.0,6.86,254,235
2023-01-01 03:43:00,2023-01-01 04:01:00,1.0,2.84,235,69
2023-01-01 04:04:00,2023-01-01 04:29:00,1.0,6.81,60,247
2023-01-01 04:30:00,2023-01-01 04:35:00,1.0,0.94,69,69
2023-01-01 05:20:00,2023-01-01 05:25:00,1.0,1.01,169,69
2023-01-01 05:06:00,2023-01-01 05:17:00,2.0,1.8,119,47
2023-01-01 06:41:00,2023-01-01 06:51:00,1.0,1.55,47,60
2023-01-01 06:41:00,2023-01-01 06:58:00,1.0,10.59,247,51
2023-01-01 07:05:00,2023-01-01 07:27:00,1.0,9.74,241,236
2023-01-01 07:25:00,2023-01-01 07:43:00,1.0,3.07,159,235
2023-01-01 08:47:00,2023-01-01 09:05:00,1.0,7.2,259,47
2023-01-01 08:34:00,2023-01-01 08:55:00,1.0,4.59,159,141
2023-01-01 08:03:00,2023-01-01 08:27:00,1.0,4.0,136,42
2023-01-01 08:05:00,2023-01-01 08:29:00,1.0,10.1,254,262
2023-01-01 08:42:00,2023-01-01 08:53:00,1.0,1.95,241,235
2023-01-01 08:25:00,2023-01-01 09:05:00,1.0,4.6,136,250
2023-01-01 08:29:00,2023-01-01 08:52:00,1.0,11.9,182,48
2023-01-01 09:24:00,2023-01-01 09:53:00,1.0,17.3,32,225
2023-01-01 09:18:00,2023-01-01 10:11:00,1.0,2.5,182,167
2023-01-01 09:33:00,2023-01-01 09:57:00,1.0,8.5,119,51
2023-01-01 09:43:00,2023-01-01 10:01:00,1.0,5.2,94,42
2023-01-01 09:02:00,2023-01-01 09:25:00,1.0,4.9,254,47
2023-01-01 10:33:00,2023-01-01 10:48:00,1.0,3.5,69,32
2023-01-01 10:51:00,2023-01-01 10:59:00,1.0,3.3,32,213
2023-01-01 10:30:00,2023-01-01 11:08:00,1.0,5.2,208,167
2023-01-01 10:16:00,2023-01-01 10:37:00,1.0,5.6,235,254
2023-01-01 10:01:00,2023-01-01 10:09:00,1.0,1.4,247,42
2023-01-01 10:00:00,2023-01-01 10:33:00,1.0,4.4,174,60
2023-01-01 10:49:00,2023-01-01 11:01:00,1.0,0.8,247,69
