time,passenger_count,trip_distance,trip_duration,PULocationID,DOLocationID,demand_count
2023-01-01 00:00:00,1.0,13.435,19.0,60.0,168.0,2.0
2023-01-01 01:00:00,1.0,0.9,8.0,168.0,247.0,3.0
2023-01-01 02:00:00,1.0,1.9249999999999998,5.5,136.0,127.0,2.0
2023-01-01 03:00:00,1.0,2.77,22.0,51.0,69.0,6.0
2023-01-01 04:00:00,1.0,3.875,15.0,60.0,69.0,2.0
2023-01-01 05:00:00,1.5,1.405,8.0,119.0,47.0,2.0
2023-01-01 06:00:00,1.0,6.07,13.5,47.0,51.0,2.0
2023-01-01 07:00:00,1.0,6.405,20.0,159.0,235.0,2.0
2023-01-01 08:00:00,1.0,4.6,23.0,136.0,42.0,7.0
2023-01-01 09:00:00,1.0,5.2,24.0,32.0,42.0,5.0
2023-01-01 10:00:00,1.0,3.5,15.0,247.0,32.0,7.0
2023-01-01 11:00:00,1.0,2.695,26.0,167.0,47.0,8.0
2023-01-01 12:00:00,1.0,1.75,34.0,167.0,42.0,4.0
2023-01-01 13:00:00,1.0,3.5,21.0,18.0,136.0,4.0
2023-01-01 14:00:00,1.0,3.3,22.0,168.0,81.0,11.0
2023-01-01 15:00:00,1.0,3.15,21.0,159.0,39.0,8.0
2023-01-01 16:00:00,1.0,6.3999999999999995,25.0,47.0,81.0,2.0
2023-01-01 17:00:00,3.5,0.8500000000000001,5.0,31.0,20.0,2.0
2023-01-01 18:00:00,1.0,3.54,19.0,94.0,182.0,1.0
2023-01-01 19:00:00,1.0,5.59,27.5,69.0,3.0,4.0
2023-01-01 20:00:00,1.0,1.97,10.0,60.0,47.0,3.0
2023-01-01 21:00:00,2.0,5.09,18.0,18.0,213.0,1.0
2023-01-01 22:00:00,2.0,5.09,18.0,51.0,42.0,1.0
2023-01-01 23:00:00,1.5,2.25,11.0,119.0,78.0,2.0
2023-01-02 00:00:00,1.0,1.11,5.0,159.0,167.0,1.0
2023-01-02 01:00:00,1.0,0.12,1.0,126.0,126.0,1.0
2023-01-02 02:00:00,2.0,0.95,11.0,240.0,240.0,1.0
2023-01-02 03:00:00,1.0,7.390000000000001,15.0,20.0,138.0,2.0
2023-01-02 04:00:00,1.0,7.390000000000001,15.0,51.0,42.0,2.0
2023-01-02 05:00:00,1.0,13.45,27.5,18.0,137.0,4.0
