time,passenger_count,trip_distance,trip_duration,PULocationID,DOLocationID
2024-01-01 00:00:00,1.0,0.555,2.5,78.0,78.0
2024-01-01 01:00:00,1.0,2.22,8.0,247.0,20.0
2024-01-01 02:00:00,2.0,0.95,11.0,240.0,240.0
2024-01-01 03:00:00,1.0,7.390000000000001,15.0,20.0,138.0
2024-01-01 04:00:00,1.0,7.390000000000001,15.0,20.0,138.0
2024-01-01 05:00:00,1.0,6.84,23.0,18.0,69.0
2024-01-01 06:00:00,1.0,13.8,29.0,47.0,35.0
2024-01-01 07:00:00,1.0,2.2,28.0,78.0,90.0
2024-01-01 08:00:00,1.0,1.0,37.0,159.0,18.0
2024-01-01 09:00:00,1.0,1.8,21.0,168.0,69.0
2024-01-01 10:00:00,1.0,2.6,18.0,213.0,119.0
2024-01-01 11:00:00,1.0,2.16,25.0,119.0,32.0
2024-01-01 12:00:00,1.0,4.0,35.0,60.0,51.0
2024-01-01 13:00:00,1.0,4.85,29.5,47.0,50.0
2024-01-01 14:00:00,1.0,11.9,41.0,51.0,19.0
2024-01-01 15:00:00,1.0,1.06,24.0,3.0,140.0
2024-01-01 16:00:00,1.0,1.3,15.0,47.0,60.0
2024-01-01 17:00:00,1.0,2.14,15.0,247.0,42.0
2024-01-01 18:00:00,1.0,11.0,44.0,69.0,225.0
2024-01-01 19:00:00,1.0,11.0,44.0,69.0,225.0
2024-01-01 20:00:00,4.0,8.71,18.0,69.0,164.0
2024-01-01 21:00:00,2.0,1.28,5.0,159.0,47.0
2024-01-01 22:00:00,5.0,3.59,13.0,168.0,237.0
2024-01-01 23:00:00,1.0,0.0,25.0,159.0,247.0
2024-01-02 00:00:00,1.0,0.39,16.0,94.0,18.0
2024-01-02 01:00:00,1.0,0.39,16.0,94.0,18.0
2024-01-02 02:00:00,2.0,1.5,7.0,159.0,69.0
2024-01-02 03:00:00,1.0,5.3,16.0,168.0,182.0
2024-01-02 04:00:00,1.0,3.45,29.5,213.0,69.0
2024-01-02 05:00:00,1.0,9.3,33.5,51.0,29.0
2024-01-02 06:00:00,1.0,11.45,54.5,213.0,37.0
2024-01-02 07:00:00,1.0,1.2200000000000002,24.5,168.0,248.0
2024-01-02 08:00:00,1.0,4.2,29.0,51.0,41.0
2024-01-02 09:00:00,1.0,5.8,36.0,254.0,140.0
2024-01-02 10:00:00,1.0,3.95,21.5,168.0,168.0
2024-01-02 11:00:00,1.0,3.9,24.5,213.0,254.0
2024-01-02 12:00:00,1.0,2.1,34.5,168.0,1.0
2024-01-02 13:00:00,1.0,2.675,22.5,69.0,244.0
2024-01-02 14:00:00,1.0,3.9,25.0,159.0,250.0
2024-01-02 15:00:00,1.0,2.22,33.0,168.0,74.0
2024-01-02 16:00:00,1.0,0.6,31.0,168.0,134.0
