tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID
2023-01-01 0:08,2023-01-01 0:41,1,25.84,60,265
2023-01-01 0:27,2023-01-01 0:32,1,1.03,159,168
2023-01-01 0:16,2023-01-01 0:16,4,0,174,174
2023-01-01 0:00,2023-01-01 0:26,1,0,136,233
2023-01-01 1:51,2023-01-01 1:52,1,0.5,168,247
2023-01-01 1:44,2023-01-01 1:52,4,0.9,119,247
2023-01-01 1:59,2023-01-01 2:15,1,2.3,168,247
2023-01-01 2:56,2023-01-01 2:57,1,0,247,247
2023-01-01 2:18,2023-01-01 2:20,1,0.55,136,127
2023-01-01 2:09,2023-01-01 2:18,1,3.3,240,265
2023-01-01 2:38,2023-01-01 2:59,1,0,32,74
2023-01-01 3:22,2023-01-02 3:04,1,1.15,136,127
2023-01-01 3:10,2023-01-01 3:35,1,0,247,50
2023-01-01 3:56,2023-01-01 3:59,1,0.76,69,247
2023-01-01 3:07,2023-01-01 3:30,2,12.33,51,119
2023-01-01 3:24,2023-01-01 3:45,1,2.7,168,244
2023-01-01 3:11,2023-01-01 3:37,1,6.86,254,235
2023-01-01 3:43,2023-01-01 4:01,1,2.84,235,69
2023-01-01 4:45,2023-01-01 5:17,0,19.3,254,132
2023-01-01 4:29,2023-01-01 4:34,1,0,182,264
2023-01-01 4:46,2023-01-01 5:01,1,0,241,119
2023-01-01 4:04,2023-01-01 4:29,1,6.81,60,247
2023-01-01 4:30,2023-01-01 4:35,1,0.94,69,69
2023-01-01 4:31,2023-01-01 5:55,1,0,168,168
2023-01-01 4:12,2023-01-01 4:12,1,0,69,69
2023-01-01 4:47,2023-01-01 5:03,1,0,159,159
2023-01-01 5:20,2023-01-01 5:25,1,1.01,169,69
2023-01-01 5:37,2023-01-01 5:52,1,0,47,168
2023-01-01 5:06,2023-01-01 5:17,2,1.8,119,47
2023-01-01 6:41,2023-01-01 6:51,1,1.55,47,60
2023-01-01 6:41,2023-01-01 6:51,1,1.55,47,60
2023-01-01 6:41,2023-01-01 6:58,1,10.59,247,51
2023-01-01 7:05,2023-01-01 7:27,1,9.74,241,236
2023-01-01 7:38,2023-01-01 8:12,11,0,159,228
2023-01-01 7:25,2023-01-01 7:43,1,3.07,159,235
2023-01-01 7:15,2023-01-01 7:28,1,0,94,254
2023-01-01 8:47,2023-01-01 9:05,1,7.2,259,47
2023-01-01 8:34,2023-01-01 8:55,1,4.59,159,141
2023-01-01 8:03,2023-01-01 8:27,1,4,136,42
2023-01-01 8:05,2023-01-01 8:29,1,10.1,254,262
2023-01-01 8:58,2023-01-01 9:15,1,0,78,229
2023-01-01 8:12,2023-01-01 8:12,1,0,159,159
